SOC Group,SOC Code,SOC Title,title_lower,SOC Definition,From Occupation Data,50 highest-paying jobs in America,Highest-paying jobs for high school graduates,Highest paying jobs in education,50 fastest-growing jobs for the future,Fastest-growing jobs that pay over $100K,Generated,Stacker Description
Detailed,11-1011,Chief Executives,chief executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","<p>Chief executives direct their company's finances and budget, negotiate contracts, and appoint managers. Many hold a Master of Business Administration or other advanced degree.</p>",,,,,,"Chief executives set the strategic direction for entire organizations, making high-level decisions that affect thousands of employees and millions in revenue. They work closely with boards of directors to establish company policies and coordinate with department heads to ensure operational success. Most reach this pinnacle through decades of management experience, though some entrepreneurs build companies from the ground up."
Detailed,11-1021,General and Operations Managers,general and operations managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",,,,,,,"General and operations managers serve as the backbone of organizational leadership, overseeing multiple departments and ensuring smooth daily operations. They coordinate resources, manage budgets, and implement policies across diverse business functions. Unlike specialized managers, they must understand every aspect of their organization, from human resources to supply chain management, making them versatile problem-solvers."
Detailed,11-1031,Legislators,legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,,,,,,"Legislators craft and vote on laws that govern communities, states, and the nation. These elected officials research policy issues, debate proposed legislation, and represent their constituents' interests in government bodies. Beyond lawmaking, they often hold committee positions, conduct public hearings, and work with advocacy groups to address complex social and economic challenges."
Detailed,11-2011,Advertising and Promotions Managers,advertising and promotions managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","<p>These managers create posters, giveaways, coupons, and contests to spark interest in a product or company. Market research is a crucial part of the workflow for advertising and promotions managers. Many in the field hold a bachelor's degree in advertising or journalism.</p>",,,,,,"Advertising and promotions managers create compelling campaigns that capture consumer attention and drive sales. They develop creative strategies, coordinate with design teams, and oversee promotional events like contests and giveaways. These professionals must understand market trends, consumer psychology, and brand positioning to craft messages that resonate with target audiences across various media platforms."
Detailed,11-2021,Marketing Managers,marketing managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm’s profits or share of the market while ensuring the firm’s customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.","Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.","<p>Marketing managers identify potential customers, assess product demand, and research competitors' services. In addition to holding a bachelor's degree, these managers usually have experience in advertising, sales, promotions, or marketing.</p>",,,,,,"Marketing managers analyze market conditions and consumer behavior to develop strategies that maximize profits and market share. They conduct research to identify potential customers, set pricing strategies, and oversee product development initiatives. These professionals must balance customer satisfaction with business objectives while staying ahead of industry trends and competitive threats."
Detailed,11-2022,Sales Managers,sales managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","<p>Sales managers prepare budgets, track customer preferences, project sales, and create pricing plans. They typically have at least a bachelor's degree and some kind of experience as sales representatives.</p>",,,,,,"Sales managers develop strategies to boost revenue by establishing territories, setting quotas, and training sales teams. They analyze customer preferences and market data to forecast demand and manage inventory levels. These leaders bridge the gap between company goals and frontline sales efforts, often requiring strong analytical skills alongside people management expertise to drive consistent performance across their sales organizations."
Detailed,11-2032,Public Relations Managers,public relations managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.","Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.","<p>Public relations managers often need at least a bachelor's degree and sometimes a master's degree, as well as related work experience. Demand has grown for certain specialties within the field, including crisis management and celebrity management. Experts predict <a href=""https://www.prnewsonline.com/2023-a-growth-year-for-pr-but-also-more-crises-labor-issues-and-internal-communication/"">continued expansion</a> and the need for such services.</p>",,,,,,"Public relations managers craft and execute communication strategies to shape how the public perceives their organization or clients. They manage media relationships, coordinate press releases, and handle crisis communications to maintain favorable public image. During challenging situations, these professionals serve as strategic communicators who protect and enhance their organization's reputation through targeted messaging and stakeholder engagement."
Detailed,11-2033,Fundraising Managers,fundraising managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.","Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,,,,,,"Fundraising managers lead efforts to secure financial support for nonprofits and special projects through strategic donor cultivation and campaign development. They organize fundraising events, manage donor databases, and build relationships with major contributors. These professionals combine marketing savvy with relationship-building skills to meet ambitious financial goals that enable organizations to fulfill their missions and expand their impact."
Detailed,11-3012,Administrative Services Managers,administrative services managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Medical records administrators are included in “Medical and Health Services Managers” (11-9111). Excludes “Facilities Managers” (11-3013) and “Purchasing Managers” (11-3061).","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",,,,,,,"Administrative services managers oversee the behind-the-scenes operations that keep organizations running smoothly, from records management to mail distribution and office support systems. They coordinate multiple administrative functions while ensuring efficient workflows and proper resource allocation. These professionals serve as operational backbone leaders who optimize processes and manage support staff to enhance overall organizational productivity."
Detailed,11-3013,Facilities Managers,facilities managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization’s campus. Excludes “Administrative Services Managers” (11-3012), “Property, Real Estate, and Community Association Managers” (11-9141), “First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers” (37-1010), “First-Line Supervisors of Mechanics and Repairers” (49-1011), and “Maintenance and Repair Workers, General” (49-9071).","Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",,,,,,,"Facilities managers ensure buildings and grounds operate efficiently and safely for occupants. They coordinate maintenance schedules, manage vendor relationships, and oversee security systems while planning space utilization and renovations. These professionals balance cost control with functionality, often managing multiple properties while ensuring compliance with safety regulations and creating productive work environments for employees."
